department_management.head	department_management.management	department_management.department
farm.farm	farm.competition_record	farm.farm_competition
farm.farm_competition	farm.farm_competition_HAS_farm.city	farm.city
student_assessment.People_Addresses	student_assessment.people_addresses_HAS_student_assessment.addresses	student_assessment.Addresses
student_assessment.Candidate_Assessments	student_assessment.candidate_assessments_HAS_student_assessment.candidates	student_assessment.Candidates
student_assessment.Candidates	student_assessment.candidates_HAS_student_assessment.people	student_assessment.People
student_assessment.Students	student_assessment.students_HAS_student_assessment.people	student_assessment.People
student_assessment.People_Addresses	student_assessment.people_addresses_HAS_student_assessment.people	student_assessment.People
book_2.publication	book_2.publication_HAS_book_2.book	book_2.book
musical.actor	musical.actor_HAS_musical.musical	musical.musical
twitter_1.user_profiles	twitter_1.follows	twitter_1.user_profiles
twitter_1.tweets	twitter_1.tweets_HAS_twitter_1.user_profiles	twitter_1.user_profiles
product_catalog.Catalog_Structure	product_catalog.Catalog_Contents_Additional_Attributes	product_catalog.Catalog_Contents
product_catalog.Catalog_Structure	product_catalog.catalog_structure_HAS_product_catalog.catalogs	product_catalog.Catalogs
product_catalog.Catalog_Contents	product_catalog.catalog_contents_HAS_product_catalog.catalog_structure	product_catalog.Catalog_Structure
flight_1.flight	flight_1.flight_HAS_flight_1.aircraft	flight_1.aircraft
flight_1.aircraft	flight_1.certificate	flight_1.employee
allergy_1.Allergy_Type	allergy_1.Has_Allergy	allergy_1.Student
journal_committee.journal	journal_committee.journal_committee	journal_committee.editor
customers_card_transactions.Accounts	customers_card_transactions.Financial_Transactions	customers_card_transactions.Customers_Cards
race_track.race	race_track.race_HAS_race_track.track	race_track.track
coffee_shop.happy_hour_member	coffee_shop.happy_hour_member_HAS_coffee_shop.member	coffee_shop.member
coffee_shop.happy_hour	coffee_shop.happy_hour_HAS_coffee_shop.shop	coffee_shop.shop
insurance_fnol.Claims	insurance_fnol.claims_HAS_insurance_fnol.first_notification_of_loss	insurance_fnol.First_Notification_of_Loss
insurance_fnol.Settlements	insurance_fnol.settlements_HAS_insurance_fnol.claims	insurance_fnol.Claims
insurance_fnol.First_Notification_of_Loss	insurance_fnol.first_notification_of_loss_HAS_insurance_fnol.services	insurance_fnol.Services
insurance_fnol.Available_Policies	insurance_fnol.Customers_Policies	insurance_fnol.Customers
medicine_enzyme_interaction.medicine	medicine_enzyme_interaction.medicine_enzyme_interaction	medicine_enzyme_interaction.enzyme
university_basketball.basketball_match	university_basketball.basketball_match_HAS_university_basketball.university	university_basketball.university
phone_1.phone	phone_1.phone_HAS_phone_1.chip_model	phone_1.chip_model
match_season.player	match_season.player_HAS_match_season.team	match_season.team
match_season.match_season	match_season.match_season_HAS_match_season.team	match_season.team
match_season.match_season	match_season.match_season_HAS_match_season.country	match_season.country
climbing.climber	climbing.climber_HAS_climbing.mountain	climbing.mountain
body_builder.body_builder	body_builder.body_builder_HAS_body_builder.people	body_builder.people
election_representative.election	election_representative.election_HAS_election_representative.representative	election_representative.representative
apartment_rentals.View_Unit_Status	apartment_rentals.view_unit_status_HAS_apartment_rentals.apartment_bookings	apartment_rentals.Apartment_Bookings
apartment_rentals.View_Unit_Status	apartment_rentals.view_unit_status_HAS_apartment_rentals.apartments	apartment_rentals.Apartments
apartment_rentals.Apartment_Bookings	apartment_rentals.apartment_bookings_HAS_apartment_rentals.guests	apartment_rentals.Guests
apartment_rentals.Apartment_Bookings	apartment_rentals.apartment_bookings_HAS_apartment_rentals.apartments	apartment_rentals.Apartments
apartment_rentals.Apartment_Facilities	apartment_rentals.apartment_facilities_HAS_apartment_rentals.apartments	apartment_rentals.Apartments
apartment_rentals.Apartments	apartment_rentals.apartments_HAS_apartment_rentals.apartment_buildings	apartment_rentals.Apartment_Buildings
game_injury.game	game_injury.game_HAS_game_injury.stadium	game_injury.stadium
game_injury.injury_accident	game_injury.injury_accident_HAS_game_injury.game	game_injury.game
debate.debate_people	debate.debate_people_HAS_debate.debate	debate.debate
debate.debate_people	debate.debate_people_HAS_debate.people	debate.people
insurance_and_eClaims.Claim_Headers	insurance_and_eClaims.claim_headers_HAS_insurance_and_eClaims.policies	insurance_and_eClaims.Policies
insurance_and_eClaims.Claims_Processing	insurance_and_eClaims.claims_processing_HAS_insurance_and_eClaims.claim_headers	insurance_and_eClaims.Claim_Headers
insurance_and_eClaims.Staff	insurance_and_eClaims.Claims_Documents	insurance_and_eClaims.Claim_Headers
insurance_and_eClaims.Claims_Processing	insurance_and_eClaims.claims_processing_HAS_insurance_and_eClaims.staff	insurance_and_eClaims.Staff
insurance_and_eClaims.Policies	insurance_and_eClaims.policies_HAS_insurance_and_eClaims.customers	insurance_and_eClaims.Customers
customers_and_invoices.Order_Items	customers_and_invoices.order_items_HAS_customers_and_invoices.products	customers_and_invoices.Products
customers_and_invoices.Orders	customers_and_invoices.orders_HAS_customers_and_invoices.customers	customers_and_invoices.Customers
customers_and_invoices.Accounts	customers_and_invoices.Financial_Transactions	customers_and_invoices.Invoices
customers_and_invoices.Order_Items	customers_and_invoices.order_items_HAS_customers_and_invoices.orders	customers_and_invoices.Orders
customers_and_invoices.Invoice_Line_Items	customers_and_invoices.invoice_line_items_HAS_customers_and_invoices.invoices	customers_and_invoices.Invoices
customers_and_invoices.Invoice_Line_Items	customers_and_invoices.invoice_line_items_HAS_customers_and_invoices.order_items	customers_and_invoices.Order_Items
customers_and_invoices.Products	customers_and_invoices.products_HAS_customers_and_invoices.product_categories	customers_and_invoices.Product_Categories
customers_and_invoices.Accounts	customers_and_invoices.accounts_HAS_customers_and_invoices.customers	customers_and_invoices.Customers
customers_and_invoices.Invoices	customers_and_invoices.invoices_HAS_customers_and_invoices.orders	customers_and_invoices.Orders
customers_and_invoices.Invoice_Line_Items	customers_and_invoices.invoice_line_items_HAS_customers_and_invoices.products	customers_and_invoices.Products
wedding.wedding	wedding.wedding_HAS_wedding.people	wedding.people
wedding.wedding	wedding.wedding_HAS_wedding.church	wedding.church
theme_gallery.exhibition_record	theme_gallery.exhibition_record_HAS_theme_gallery.exhibition	theme_gallery.exhibition
theme_gallery.exhibition	theme_gallery.exhibition_HAS_theme_gallery.artist	theme_gallery.artist
epinions_1.review	epinions_1.review_HAS_epinions_1.item	epinions_1.item
epinions_1.useracct	epinions_1.trust	epinions_1.useracct
epinions_1.review	epinions_1.review_HAS_epinions_1.useracct	epinions_1.useracct
riding_club.coach	riding_club.coach_HAS_riding_club.club	riding_club.club
riding_club.match_result	riding_club.match_result_HAS_riding_club.club	riding_club.club
riding_club.coach	riding_club.player_coach	riding_club.player
gymnast.gymnast	gymnast.gymnast_HAS_gymnast.people	gymnast.people
browser_web.browser	browser_web.accelerator_compatible_browser	browser_web.Web_client_accelerator
wrestler.Elimination	wrestler.elimination_HAS_wrestler.wrestler	wrestler.wrestler
protein_institute.protein	protein_institute.protein_HAS_protein_institute.institution	protein_institute.Institution
protein_institute.Institution	protein_institute.institution_HAS_protein_institute.building	protein_institute.building
cinema.cinema	cinema.schedule	cinema.film
products_for_hire.View_Product_Availability	products_for_hire.view_product_availability_HAS_products_for_hire.products_for_hire	products_for_hire.Products_for_Hire
products_for_hire.View_Product_Availability	products_for_hire.view_product_availability_HAS_products_for_hire.bookings	products_for_hire.Bookings
products_for_hire.Payments	products_for_hire.payments_HAS_products_for_hire.customers	products_for_hire.Customers
products_for_hire.Customers	products_for_hire.customers_HAS_products_for_hire.discount_coupons	products_for_hire.Discount_Coupons
products_for_hire.Bookings	products_for_hire.bookings_HAS_products_for_hire.customers	products_for_hire.Customers
products_for_hire.Products_for_Hire	products_for_hire.Products_Booked	products_for_hire.Bookings
products_for_hire.Payments	products_for_hire.payments_HAS_products_for_hire.bookings	products_for_hire.Bookings
phone_market.phone	phone_market.phone_market	phone_market.market
gas_company.company	gas_company.station_company	gas_company.gas_station
party_people.member	party_people.member_HAS_party_people.party	party_people.party
party_people.party	party_people.party_HAS_party_people.region	party_people.region
party_people.party_events	party_people.party_events_HAS_party_people.party	party_people.party
party_people.party_events	party_people.party_events_HAS_party_people.member	party_people.member
pilot_record.aircraft	pilot_record.pilot_record	pilot_record.pilot
cre_Doc_Control_Systems.Draft_Copies	cre_Doc_Control_Systems.draft_copies_HAS_cre_Doc_Control_Systems.document_drafts	cre_Doc_Control_Systems.Document_Drafts
cre_Doc_Control_Systems.Documents	cre_Doc_Control_Systems.documents_HAS_cre_Doc_Control_Systems.ref_document_status	cre_Doc_Control_Systems.Ref_Document_Status
cre_Doc_Control_Systems.Documents	cre_Doc_Control_Systems.documents_HAS_cre_Doc_Control_Systems.ref_document_types	cre_Doc_Control_Systems.Ref_Document_Types
cre_Doc_Control_Systems.Document_Drafts	cre_Doc_Control_Systems.document_drafts_HAS_cre_Doc_Control_Systems.documents	cre_Doc_Control_Systems.Documents
cre_Doc_Control_Systems.Addresses	cre_Doc_Control_Systems.Documents_Mailed	cre_Doc_Control_Systems.Documents
cre_Doc_Control_Systems.Documents	cre_Doc_Control_Systems.documents_HAS_cre_Doc_Control_Systems.ref_shipping_agents	cre_Doc_Control_Systems.Ref_Shipping_Agents
cre_Doc_Control_Systems.Employees	cre_Doc_Control_Systems.employees_HAS_cre_Doc_Control_Systems.roles	cre_Doc_Control_Systems.Roles
cre_Doc_Control_Systems.Employees	cre_Doc_Control_Systems.Circulation_History	cre_Doc_Control_Systems.Draft_Copies
local_govt_in_alabama.Events	local_govt_in_alabama.events_HAS_local_govt_in_alabama.services	local_govt_in_alabama.Services
local_govt_in_alabama.Events	local_govt_in_alabama.Participants_in_Events	local_govt_in_alabama.Participants
machine_repair.repair_assignment	machine_repair.repair_assignment_HAS_machine_repair.machine	machine_repair.machine
machine_repair.repair_assignment	machine_repair.repair_assignment_HAS_machine_repair.repair	machine_repair.repair
entrepreneur.entrepreneur	entrepreneur.entrepreneur_HAS_entrepreneur.people	entrepreneur.people
perpetrator.perpetrator	perpetrator.perpetrator_HAS_perpetrator.people	perpetrator.people
csu_1.csu_fees	csu_1.csu_fees_HAS_csu_1.campuses	csu_1.Campuses
csu_1.degrees	csu_1.degrees_HAS_csu_1.campuses	csu_1.Campuses
